run_id,architecture,scenario_tag,lane2_open,lane3_open,WCR_event,PCR_event,ECL_m,DOC,Ttravel_s,Tdelay_s,commit_ratio,hold_ratio,abort_entry_ratio,wrong_commit_ratio,premature_commit_ratio,confirmable_noncommit_ratio,first_commit_distance_m,first_abort_distance_m,first_confirmable_distance_m,mean_attr_truth,mean_z_open,mean_z_attr,mean_z_conflict,mean_b_pass,min_gate_time_wrong_commit_s,total_cost,unsafe_commit_cost,premature_commit_cost,late_confirmation_cost,unnecessary_merge_cost,oscillation_cost,efficiency_cost
0,camera_only,adjacent_open_risk,True,False,1.0,0.0,,2,4.6,0.16451512982238903,0.45652173913043476,0.15217391304347827,0.0,0.45652173913043476,0.0,0.0,35.543432487918,,,0.14289412933410617,0.5092576442847669,0.17768019334868523,0.33463976897589953,0.2093520148534196,0.09375920036642249,21.279298480189187,2.1,0.0,0.0,0.0,0.2,0.15859696037837223
0,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,1,4.999999999999998,0.5645151298223876,0.0,0.68,0.0,0.0,0.0,0.0,,,,0.14379040260919468,0.5340755280153505,0.17432084040823048,0.3384035032380126,0.11387871034145591,inf,0.38133437947773474,0.0,0.0,0.0,0.0,0.1,0.5626687589554694
0,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,5.1999999999999975,0.7645151298223869,0.0,0.38461538461538464,0.3076923076923077,0.0,0.0,0.0,,21.490075860855548,,0.144364982646801,0.5444035278712215,0.17626935025187834,0.340925607485034,0.058918887088816874,inf,0.54774945082909,0.0,0.0,0.0,0.0,0.2,0.69549890165818
1,camera_only,adjacent_open_risk,True,False,1.0,0.0,,4,4.300000000000001,0.2272901216978367,0.4883720930232558,0.16279069767441862,0.0,0.4883720930232558,0.0,0.0,39.28485030653652,,,0.14075386051132974,0.5203155100967596,0.17606190699161114,0.358090392332147,0.207002598396225,0.027483050394741474,21.4792730455375,2.1,0.0,0.0,0.0,0.4,0.15854609107499842
1,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,1,4.6,0.5272901216978356,0.0,0.6739130434782609,0.0,0.0,0.0,0.0,,,,0.14150702211464944,0.5364009417978831,0.1749508708466071,0.3626962981948347,0.10874963025143879,inf,0.3497626272452645,0.0,0.0,0.0,0.0,0.1,0.499525254490529
1,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,4.699999999999999,0.6272901216978353,0.0,0.3829787234042553,0.2978723404255319,0.0,0.0,0.0,,21.18331055480887,,0.14152088456126452,0.547483488912849,0.18174821505624436,0.35635598206626345,0.05639096078726309,inf,0.499875200821583,0.0,0.0,0.0,0.0,0.2,0.599750401643166
2,camera_only,both_closed,False,False,0.0,0.0,,6,3.700000000000002,0.08044155585602208,0.0,0.10810810810810811,0.08108108108108109,0.0,0.0,0.0,,20.45640015376645,,0.08974947397422813,0.15261718272855443,0.13698960083067377,0.24255171125266306,0.05608907037366715,inf,0.63471850676586,0.0,0.0,0.0,0.0,0.6000000000000001,0.06943701353172005
2,multi_sensor_permissive,both_closed,False,False,0.0,0.0,,8,3.900000000000002,0.28044155585602226,0.0,0.3333333333333333,0.05128205128205128,0.0,0.0,0.0,,18.634715971383123,,0.09016271785192506,0.15632456107026005,0.13926809035684992,0.2423743425834902,0.02645346363027709,inf,0.9363255354278408,0.0,0.0,0.0,0.0,0.8,0.27265107085568185
2,mitigation,both_closed,False,False,0.0,0.0,,2,4.200000000000001,0.5804415558560212,0.0,0.38095238095238093,0.30952380952380953,0.0,0.0,0.0,,21.292859914761284,,0.09075686617723064,0.15448167177766012,0.147502286832457,0.24479841732903274,0.010764230703337326,inf,0.4541381200447336,0.0,0.0,0.0,0.0,0.2,0.5082762400894673
3,camera_only,adjacent_open_risk,True,False,1.0,0.0,,4,4.6,0.2578294174233511,0.43478260869565216,0.21739130434782608,0.0,0.43478260869565216,0.0,0.0,34.91951159833815,,,0.1407144003875768,0.5364802355992032,0.19489463990016523,0.3681360115765641,0.2196954677268602,0.030763832568378714,20.49614411113318,2.0,0.0,0.0,0.0,0.4,0.192288222266361
3,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,1,4.899999999999999,0.55782941742335,0.0,0.673469387755102,0.0,0.0,0.0,0.0,,,,0.14138306197234607,0.5466731556208438,0.2003510209299799,0.3707745084991387,0.12166181172170677,inf,0.37134098328080056,0.0,0.0,0.0,0.0,0.1,0.5426819665616011
3,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,4.999999999999998,0.6578294174233497,0.0,0.38,0.3,0.0,0.0,0.0,,21.668529997751833,,0.14132981792337207,0.5513968407853553,0.1969846400670732,0.37023729693139595,0.06560658091003102,inf,0.5250790075570275,0.0,0.0,0.0,0.0,0.2,0.650158015114055
4,camera_only,adjacent_open_risk,True,False,1.0,0.0,,4,3.700000000000002,0.1744496277499672,0.4594594594594595,0.16216216216216217,0.0,0.4594594594594595,0.0,0.0,35.23201535377281,,,0.14065342951697138,0.5167492774654302,0.17918398906244604,0.3261552394436303,0.20772570114947,0.045247435112848615,17.461264322664967,1.7000000000000002,0.0,0.0,0.0,0.4,0.12252864532993298
4,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,1,4.000000000000002,0.474449627749967,0.0,0.675,0.0,0.0,0.0,0.0,,,,0.1417822516442223,0.5317419322768037,0.17767594579260967,0.33551675339865344,0.10987663953389007,inf,0.30276179019869826,0.0,0.0,0.0,0.0,0.1,0.40552358039739644
4,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,4.000000000000002,0.474449627749967,0.0,0.375,0.3,0.0,0.0,0.0,,21.556683756959885,,0.1411552735112646,0.5339370350670881,0.1872191429930191,0.34125426980811946,0.05660048616291887,inf,0.4338093670620158,0.0,0.0,0.0,0.0,0.2,0.4676187341240315
5,camera_only,adjacent_open_risk,True,False,1.0,0.0,,2,3.800000000000002,0.1886069111697939,0.4473684210526316,0.21052631578947367,0.0,0.4473684210526316,0.0,0.0,34.40759909931243,,,0.1445124699523669,0.513991949672016,0.17956402084855713,0.33612495577646156,0.2074173953802426,0.056351564249545114,17.273643864291515,1.7000000000000002,0.0,0.0,0.0,0.2,0.1472877285830295
5,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,1,4.100000000000001,0.48860691116979327,0.0,0.6829268292682927,0.0,0.0,0.0,0.0,,,,0.14570420257299782,0.5410003241784721,0.18195271540998212,0.34536234768354,0.11360702472776656,inf,0.3133432319920959,0.0,0.0,0.0,0.0,0.1,0.42668646398419185
5,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,4.200000000000001,0.5886069111697929,0.0,0.38095238095238093,0.30952380952380953,0.0,0.0,0.0,,21.189366962135264,,0.1458874736463478,0.5413041908372757,0.18092176621858325,0.34395570620204663,0.055398548876697325,inf,0.4557771027168405,0.0,0.0,0.0,0.0,0.2,0.5115542054336811
6,camera_only,adjacent_open_risk,True,False,1.0,0.0,,4,4.4,0.23896158767906073,0.45454545454545453,0.18181818181818182,0.0,0.45454545454545453,0.0,0.0,36.445086333747945,,,0.14588789705184574,0.5163920520167454,0.1783869407454111,0.2718232154318449,0.2042161574754143,0.020955523158940864,20.4820276859427,2.0,0.0,0.0,0.0,0.4,0.16405537188539843
6,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,1,4.699999999999999,0.5389615876790597,0.0,0.6808510638297872,0.0,0.0,0.0,0.0,,,,0.1465259013394074,0.5203739350008216,0.178119987753885,0.27867293978281854,0.1061441150809283,inf,0.35465982852996675,0.0,0.0,0.0,0.0,0.1,0.5093196570599335
6,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,4.799999999999999,0.6389615876790593,0.0,0.3958333333333333,0.2916666666666667,0.0,0.0,0.0,,20.837135166537546,,0.1465145792536643,0.530103935100733,0.1822064866831845,0.2815634407742931,0.054934145351481944,inf,0.5074586364155107,0.0,0.0,0.0,0.0,0.2,0.6149172728310215
7,camera_only,adjacent_open_risk,True,False,1.0,0.0,,2,4.000000000000002,0.19029380112734717,0.5,0.15,0.0,0.5,0.0,0.0,38.56262693316564,,,0.14394483154584975,0.5239525533943692,0.175121766225489,0.32213410476535564,0.20702429047968102,0.0465599170941431,20.269799479116745,2.0,0.0,0.0,0.0,0.2,0.13959895823348997
7,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,3,4.300000000000001,0.4902938011273461,0.0,0.6511627906976745,0.023255813953488372,0.0,0.0,0.0,,21.299550844022832,,0.1450056265308942,0.5322884317733783,0.1731797376771198,0.32965240038816557,0.10470666925851475,inf,0.5247226556373513,0.0,0.0,0.0,0.0,0.30000000000000004,0.44944531127470255
7,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,4.4,0.5902938011273458,0.0,0.38636363636363635,0.29545454545454547,0.0,0.0,0.0,,20.68096141056311,,0.14510639736214814,0.5320931838750949,0.17323148212741893,0.33166717099235044,0.04385789803272628,inf,0.47246805836469385,0.0,0.0,0.0,0.0,0.2,0.5449361167293877
8,camera_only,adjacent_open_risk,True,False,1.0,0.0,,4,4.4,0.2423441285486021,0.45454545454545453,0.1590909090909091,0.0,0.45454545454545453,0.0,0.0,38.057079454212,,,0.14177321872397053,0.5090680654869766,0.18848992631587258,0.34745098318425094,0.2100623800217871,0.00621072734881304,20.476733880013647,2.0,0.0,0.0,0.0,0.4,0.15346776002729076
8,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,1,4.699999999999999,0.542344128548601,0.0,0.6808510638297872,0.0,0.0,0.0,0.0,,,,0.14222911819364373,0.5164948019695205,0.18645487678773415,0.3494299008394338,0.1117841077898889,inf,0.35901435709868174,0.0,0.0,0.0,0.0,0.1,0.5180287141973635
8,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,4.799999999999999,0.6423441285486007,0.0,0.3958333333333333,0.2916666666666667,0.0,0.0,0.0,,20.878041587590563,,0.1421963157276165,0.5226267049676622,0.18437910134398136,0.349308390961425,0.05698697625506357,inf,0.5114177959923601,0.0,0.0,0.0,0.0,0.2,0.6228355919847202
9,camera_only,adjacent_open_risk,True,False,1.0,0.0,,2,4.100000000000001,0.20354639353120652,0.4634146341463415,0.17073170731707318,0.0,0.4634146341463415,0.0,0.0,35.53847847355302,,,0.1415465637445655,0.5146052859418363,0.1674840867966993,0.3280488647369558,0.2028891409410097,0.040373309003675806,19.273514745680476,1.9000000000000001,0.0,0.0,0.0,0.2,0.14702949136095003
9,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,3,4.4,0.5035463935312054,0.0,0.6590909090909091,0.022727272727272728,0.0,0.0,0.0,,14.192891259574553,,0.14227943880772878,0.5275240227393347,0.17166535973685698,0.3309557469412991,0.10668789244273413,inf,0.5346913509596162,0.0,0.0,0.0,0.0,0.30000000000000004,0.4693827019192325
9,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,4.5,0.6035463935312051,0.0,0.4,0.28888888888888886,0.0,0.0,0.0,,20.37510370186899,,0.14234190420746085,0.5301742640633321,0.17642220721375718,0.3314332353163877,0.053355962631443196,inf,0.48325194128842486,0.0,0.0,0.0,0.0,0.2,0.5665038825768497
10,camera_only,adjacent_open_risk,True,False,1.0,0.0,,2,4.799999999999999,0.2319567063493002,0.4375,0.20833333333333334,0.0,0.4375,0.0,0.0,33.79998341591521,,,0.14359536596049305,0.5214115813640458,0.1818655715591916,0.29497784732559734,0.21165785643441734,0.06250376141386334,21.298218541371313,2.1,0.0,0.0,0.0,0.2,0.19643708274262034
10,multi_sensor_permissive,adjacent_open_risk,True,False,0.0,0.0,,1,5.1999999999999975,0.6319567063492988,0.0,0.6730769230769231,0.0,0.0,0.0,0.0,,,,0.14476382441407865,0.5418453252259607,0.18362960686955143,0.29634014474938797,0.11600969850493476,inf,0.38938733343100257,0.0,0.0,0.0,0.0,0.1,0.578774666862005
10,mitigation,adjacent_open_risk,True,False,0.0,0.0,,2,5.299999999999997,0.7319567063492984,0.0,0.37735849056603776,0.3018867924528302,0.0,0.0,0.0,,21.510782209176178,,0.14463906617288827,0.5406182112055136,0.18475811596995498,0.3004610766022817,0.058157778428023554,inf,0.5488836984412517,0.0,0.0,0.0,0.0,0.2,0.6977673968825034
